,index,HA,workplace_name,workplace_address,city,date_cluster_confirmed_public_health,date_cluster_no_longer_active,earliest_reported_cases,latest_reported_cases,workplace_classification,cases_when_cluster_confirmed,total_cases,workplace_status,closure_y_n,closed_by_order,voluntary_closure,closure_date,partially_closed,open,days_since_last_case,cluster_confirmed_epidate,cluster_closed_epidate,doc_page_number,blank0,blank1,blank2,file,active_clusters,unknown_closure_type
30,31,NHA,,,Unknown,4/4/2021,4/26/2021,,,"Shelter/SRO/Congregate Housing",,5,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,No,,14-2021,,2,,,,F22-1445 Records_Part1.pdf,,
31,32,NHA,,,nknown,4/4/2021,5/5/2021,,,"Health CareFacility(Acute/LTC)",,5,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,No,,14-2021,,3,,,,F22-1445 Records_Part1.pdf,,
32,33,FHA,,,ELTA,4/5/2021,4/16/2021,,,"Restaurant/Bar/Lounge",4,4,Closed,Yes,Yes,Unknown,4/7/2021,No,No,,14-2021,14-2021,3,,,,F22-1445 Records_Part1.pdf,,
33,34,FHA,,,BBOTSFORD,4/5/2021,4/21/2021,,,Warehouse,3,3,,No,No,Unknown,,No,No,,14-2021,,3,,,,F22-1445 Records_Part1.pdf,,
34,35,FHA,,,URNABY,4/5/2021,4/23/2021,,,Office,3,3,Closed,Yes,Yes,Unknown,4/6/2021,No,No,,14-2021,14-2021,3,,,,F22-1445 Records_Part1.pdf,,
35,36,FHA,,,URNABY,4/5/2021,5/7/2021,,,"Manufacturing/Industry",12,12,,No,No,Unknown,,No,No,,14-2021,,3,,,,F22-1445 Records_Part1.pdf,,
36,37,FHA,,,URNABY,4/5/2021,4/24/2021,,,"Manufacturing/Industry",4,4,,No,No,Unknown,,No,No,,14-2021,,3,,,,F22-1445 Records_Part1.pdf,,
37,38,FHA,,,URNABY,4/5/2021,4/21/2021,,,Other,9,9,,No,No,Unknown,,No,No,,14-2021,,3,,,,F22-1445 Records_Part1.pdf,,
38,39,FHA,,,ELTA,4/5/2021,4/21/2021,,,Food Processing,5,5,,No,No,Unknown,,No,No,,14-2021,,3,,,,F22-1445 Records_Part1.pdf,,
39,40,FHA,,,ELTA,4/5/2021,5/21/2021,,,Food Processing,9,9,,No,No,Unknown,,No,No,,14-2021,,3,,,,F22-1445 Records_Part1.pdf,,
40,41,FHA,,,ELTA,4/5/2021,4/21/2021,,,"Restaurant/Bar/Lounge",24,24,Closed,Yes,Yes,Unknown,4/8/2021,No,No,,14-2021,14-2021,3,,,,F22-1445 Records_Part1.pdf,,
41,42,FHA,,,ANGLEY,4/5/2021,4/19/2021,,,"Manufacturing/Industry",4,4,,No,No,Unknown,,No,No,,14-2021,,3,,,,F22-1445 Records_Part1.pdf,,
42,43,FHA,,,APLE RIDGE,4/5/2021,4/23/2021,,,Office,6,6,Closed,Yes,Yes,Unknown,4/12/2021,No,No,,14-2021,15-2021,3,,,,F22-1445 Records_Part1.pdf,,
43,44,FHA,,,"ORTOQUITLAM",4/5/2021,5/22/2021,,,"Restaurant/Bar/Lounge",9,9,,No,No,Unknown,,No,No,,14-2021,,3,,,,F22-1445 Records_Part1.pdf,,
44,45,FHA,,,URREY,4/5/2021,4/12/2021,,,"Restaurant/Bar/Lounge",4,4,Closed,Yes,Yes,Unknown,4/5/2021,No,No,,14-2021,14-2021,3,,,,F22-1445 Records_Part1.pdf,,
45,46,FHA,,,URREY,4/5/2021,4/13/2021,,,Office,4,4,Closed,Yes,Yes,Unknown,4/6/2021,No,No,,14-2021,14-2021,3,,,,F22-1445 Records_Part1.pdf,,
46,47,FHA,,,URREY,4/5/2021,4/18/2021,,,Office,6,6,,No,No,Unknown,,No,No,,14-2021,,3,,,,F22-1445 Records_Part1.pdf,,
47,48,FHA,,,URREY,4/5/2021,4/21/2021,,,Other,3,3,,No,No,Unknown,,No,No,,14-2021,,3,,,,F22-1445 Records_Part1.pdf,,
48,49,FHA,,,SURREY,4/5/2021,4/15/2021,,,"Restaurant/Bar/Lounge",3,3,,No,No,Unknown,,No,No,,14-2021,,4,,,,F22-1445 Records_Part1.pdf,,
49,50,NHA,,,Unknown,4/5/2021,4/13/2021,,,"Manufacturing/Industry",,3,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,No,,14-2021,,4,,,,F22-1445 Records_Part1.pdf,,
50,51,NHA,,,Unknown,4/5/2021,4/20/2021,,,"Shelter/SRO/Congregate Housing",,7,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,No,,14-2021,,4,,,,F22-1445 Records_Part1.pdf,,
51,52,FHA,,,SURREY,4/6/2021,4/16/2021,,,Retail,5,5,Closed,Yes,Yes,Unknown,4/8/2021,No,No,,14-2021,14-2021,4,,,,F22-1445 Records_Part1.pdf,,
52,53,FHA,,,LANGLEY,4/6/2021,4/20/2021,,,"Restaurant/Bar/Lounge",3,3,,No,No,Unknown,,No,No,,14-2021,,4,,,,F22-1445 Records_Part1.pdf,,
53,54,FHA,,,ABBOTSFORD,4/6/2021,4/19/2021,,,"Restaurant/Bar/Lounge",5,5,Closed,Yes,Yes,Unknown,4/6/2021,No,No,,14-2021,14-2021,4,,,,F22-1445 Records_Part1.pdf,,
54,55,FHA,,,BURNABY,4/6/2021,4/24/2021,,,Retail,6,6,,No,No,Unknown,,No,No,,14-2021,,4,,,,F22-1445 Records_Part1.pdf,,
55,56,FHA,,,DELTA,4/6/2021,4/14/2021,,,"Manufacturing/Industry",3,3,,No,No,Unknown,,No,No,,14-2021,,4,,,,F22-1445 Records_Part1.pdf,,
56,57,FHA,,,DELTA,4/6/2021,4/21/2021,,,Retail,4,4,,No,No,Unknown,,No,No,,14-2021,,4,,,,F22-1445 Records_Part1.pdf,,
57,58,FHA,,,LANGLEY,4/6/2021,4/30/2021,,,"Manufacturing/Industry",5,5,,No,No,Unknown,,No,No,,14-2021,,4,,,,F22-1445 Records_Part1.pdf,,
58,59,FHA,,,"NEWWESTMINSTER",4/6/2021,4/14/2021,,,Personal Care,4,4,Closed,Yes,Yes,Unknown,4/9/2021,No,No,,14-2021,14-2021,4,,,,F22-1445 Records_Part1.pdf,,
59,60,FHA,,,"PITTMEADOWS",4/6/2021,4/6/2021,,,Office,5,5,,No,No,Unknown,,No,No,,14-2021,,4,,,,F22-1445 Records_Part1.pdf,,
60,61,FHA,,,PORT MOODY,4/6/2021,4/15/2021,,,Office,3,3,Closed,Yes,Yes,Unknown,4/8/2021,No,No,,14-2021,14-2021,4,,,,F22-1445 Records_Part1.pdf,,
61,62,FHA,,,SURREY,4/6/2021,4/16/2021,,,Retail,3,3,Closed,Yes,Yes,Unknown,4/7/2021,No,No,,14-2021,14-2021,4,,,,F22-1445 Records_Part1.pdf,,
62,63,FHA,,,SURREY,4/6/2021,4/16/2021,,,Food Processing,5,5,,No,No,Unknown,,No,No,,14-2021,,4,,,,F22-1445 Records_Part1.pdf,,
63,64,FHA,,,SURREY,4/6/2021,4/20/2021,,,"Manufacturing/Industry",3,3,,No,No,Unknown,,No,No,,14-2021,,5,,,,F22-1445 Records_Part1.pdf,,
64,65,FHA,,,SURREY,4/6/2021,4/19/2021,,,"Manufacturing/Industry",3,3,Closed,Yes,Yes,Unknown,4/9/2021,No,No,,14-2021,14-2021,5,,,,F22-1445 Records_Part1.pdf,,
65,66,FHA,,,BURNABY,4/7/2021,4/20/2021,,,"Maintenance/Trades/Construction",4,4,,No,No,Unknown,,No,No,,14-2021,,5,,,,F22-1445 Records_Part1.pdf,,
66,67,FHA,,,"PORTCOQUITLAM",4/7/2021,4/16/2021,,,Transportation,4,4,,No,No,Unknown,,No,No,,14-2021,,5,,,,F22-1445 Records_Part1.pdf,,
67,68,FHA,,,SURREY,4/7/2021,4/19/2021,,,Office,4,4,,No,No,Unknown,,No,No,,14-2021,,5,,,,F22-1445 Records_Part1.pdf,,
68,69,FHA,,,ABBOTSFORD,4/7/2021,5/14/2021,,,Retail,14,14,,No,No,Unknown,,No,No,,14-2021,,5,,,,F22-1445 Records_Part1.pdf,,
69,70,FHA,,,BURNABY,4/7/2021,4/17/2021,,,Retail,3,3,,No,No,Unknown,,No,No,,14-2021,,5,,,,F22-1445 Records_Part1.pdf,,
70,71,FHA,,,DELTA,4/7/2021,4/20/2021,,,"Maintenance/Trades/Construction",4,4,,No,No,Unknown,,No,No,,14-2021,,5,,,,F22-1445 Records_Part1.pdf,,
71,72,FHA,,,DELTA,4/7/2021,5/1/2021,,,"Manufacturing/Industry",3,3,,No,No,Unknown,,No,No,,14-2021,,5,,,,F22-1445 Records_Part1.pdf,,
72,73,FHA,,,LANGLEY,4/7/2021,4/18/2021,,,Other,3,3,,No,No,Unknown,,No,No,,14-2021,,5,,,,F22-1445 Records_Part1.pdf,,
73,74,FHA,,,LANGLEY,4/7/2021,4/20/2021,,,"Restaurant/Bar/Lounge",3,3,Closed,Yes,Yes,Unknown,4/9/2021,No,No,,14-2021,14-2021,5,,,,F22-1445 Records_Part1.pdf,,
74,75,FHA,,,MAPLE RIDGE,4/7/2021,4/23/2021,,,Gym/Fitness,5,5,Closed,Yes,Yes,Unknown,4/9/2021,No,No,,14-2021,14-2021,5,,,,F22-1445 Records_Part1.pdf,,
75,76,FHA,,,"PORTCOQUITLAM",4/7/2021,4/19/2021,,,Food Processing,5,5,,No,No,Unknown,,No,No,,14-2021,,5,,,,F22-1445 Records_Part1.pdf,,
76,77,FHA,,,"PORTCOQUITLAM",4/7/2021,5/11/2021,,,Office,5,5,Closed,Yes,Yes,Unknown,4/22/2021,No,No,,14-2021,16-2021,5,,,,F22-1445 Records_Part1.pdf,,
77,78,FHA,,,SURREY,4/7/2021,4/22/2021,,,"Restaurant/Bar/Lounge",4,4,Closed,Yes,Yes,Unknown,4/8/2021,No,No,,14-2021,14-2021,5,,,,F22-1445 Records_Part1.pdf,,
78,79,FHA,,,SURREY,4/7/2021,4/28/2021,,,Food Processing,13,13,,No,No,Unknown,,No,No,,14-2021,,5,,,,F22-1445 Records_Part1.pdf,,
79,80,NHA,,,Unknown,4/7/2021,,,,"Manufacturing/Industry",,18,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,No,,14-2021,,5,,,,F22-1445 Records_Part1.pdf,,
80,81,FHA,,,BURNABY,4/8/2021,4/24/2021,,,"Maintenance/Trades/Construction",17,17,,No,No,Unknown,,No,No,,14-2021,,6,,,,F22-1445 Records_Part1.pdf,,
81,82,FHA,,,BURNABY,4/8/2021,5/11/2021,,,Gym/Fitness,12,12,Closed,Yes,Yes,Unknown,5/2/2021,No,No,,14-2021,18-2021,6,,,,F22-1445 Records_Part1.pdf,,
82,83,FHA,,,LANGLEY,4/8/2021,4/26/2021,,,Retail,4,4,Closed,Yes,Yes,Unknown,4/13/2021,No,No,,14-2021,15-2021,6,,,,F22-1445 Records_Part1.pdf,,
83,84,FHA,,,PORT MOODY,4/8/2021,,,,Gym/Fitness,21,21,Closed,Yes,Yes,Unknown,4/14/2021,No,No,,14-2021,15-2021,6,,,,F22-1445 Records_Part1.pdf,,
84,85,FHA,,,SURREY,4/8/2021,4/29/2021,,,Office,12,12,Closed,Yes,No,Unknown,4/18/2021,Yes,No,,14-2021,16-2021,6,,,,F22-1445 Records_Part1.pdf,,
85,86,FHA,,,SURREY,4/8/2021,4/22/2021,,,"Restaurant/Bar/Lounge",4,4,Closed,Yes,Yes,Unknown,4/9/2021,No,No,,14-2021,14-2021,6,,,,F22-1445 Records_Part1.pdf,,
86,87,FHA,,,SURREY,4/8/2021,5/15/2021,,,Gym/Fitness,10,10,Closed,Yes,Yes,Unknown,4/12/2021,No,No,,14-2021,15-2021,6,,,,F22-1445 Records_Part1.pdf,,
87,88,FHA,,,ABBOTSFORD,4/9/2021,5/17/2021,,,Office,28,28,Closed,Yes,Yes,Unknown,4/10/2021,No,No,,14-2021,14-2021,6,,,,F22-1445 Records_Part1.pdf,,
88,89,FHA,,,ABBOTSFORD,4/9/2021,4/30/2021,,,"Manufacturing/Industry",14,14,Closed,Yes,Yes,Unknown,4/10/2021,No,No,,14-2021,14-2021,6,,,,F22-1445 Records_Part1.pdf,,
89,90,FHA,,,BURNABY,4/9/2021,4/30/2021,,,Gym/Fitness,12,12,Closed,Yes,Yes,Unknown,4/15/2021,No,No,,14-2021,15-2021,6,,,,F22-1445 Records_Part1.pdf,,
90,91,FHA,,,COQUITLAM,4/9/2021,4/19/2021,,,"Restaurant/Bar/Lounge",8,8,Closed,Yes,Yes,Unknown,4/12/2021,No,No,,14-2021,15-2021,6,,,,F22-1445 Records_Part1.pdf,,
91,92,FHA,,,COQUITLAM,4/9/2021,4/21/2021,,,First Responder,4,4,,No,No,Unknown,,No,No,,14-2021,,6,,,,F22-1445 Records_Part1.pdf,,
92,93,FHA,,,COQUITLAM,4/9/2021,5/2/2021,,,Retail,5,5,,No,No,Unknown,,No,No,,14-2021,,6,,,,F22-1445 Records_Part1.pdf,,
93,94,FHA,,,"NEWWESTMINSTER",4/9/2021,4/22/2021,,,Gym/Fitness,5,5,Closed,Yes,Yes,Unknown,4/10/2021,No,No,,14-2021,14-2021,6,,,,F22-1445 Records_Part1.pdf,,
94,95,FHA,,,"PORTCOQUITLAM",4/9/2021,4/11/2021,,,Other,3,3,,No,No,Unknown,,No,No,,14-2021,,6,,,,F22-1445 Records_Part1.pdf,,
95,96,FHA,,,SURREY,4/9/2021,4/21/2021,,,Warehouse,5,5,,No,No,Unknown,,No,No,,14-2021,,7,,,,F22-1445 Records_Part1.pdf,,
96,97,FHA,,,SURREY,4/9/2021,4/19/2021,,,"Manufacturing/Industry",4,4,Closed,Yes,Yes,Unknown,4/12/2021,No,No,,14-2021,15-2021,7,,,,F22-1445 Records_Part1.pdf,,
97,98,FHA,,,SURREY,4/9/2021,4/26/2021,,,Retail,4,4,,No,No,Unknown,,No,No,,14-2021,,7,,,,F22-1445 Records_Part1.pdf,,
98,99,FHA,,,SURREY,4/9/2021,4/21/2021,,,Office,4,4,,No,No,Unknown,,No,No,,14-2021,,7,,,,F22-1445 Records_Part1.pdf,,
99,100,FHA,,,SURREY,4/9/2021,4/23/2021,,,Office,6,6,Closed,Yes,Yes,Unknown,4/12/2021,No,No,,14-2021,15-2021,7,,,,F22-1445 Records_Part1.pdf,,
100,101,FHA,,,SURREY,4/9/2021,,,,Food Processing,11,11,,No,No,Unknown,,No,No,,14-2021,,7,,,,F22-1445 Records_Part1.pdf,,
101,102,FHA,,,BURNABY,4/10/2021,4/24/2021,,,"Maintenance/Trades/Construction",4,4,,No,No,Unknown,,No,No,,14-2021,,7,,,,F22-1445 Records_Part1.pdf,,
102,103,FHA,,,BURNABY,4/10/2021,4/28/2021,,,Retail,4,4,,No,No,Unknown,,No,No,,14-2021,,7,,,,F22-1445 Records_Part1.pdf,,
103,104,FHA,,,DELTA,4/10/2021,4/19/2021,,,Farm/Agriculture,4,4,,No,No,Unknown,,No,No,,14-2021,,7,,,,F22-1445 Records_Part1.pdf,,
104,105,NHA,,,Unknown,4/10/2021,4/26/2021,,,"Shelter/SRO/Congregate Housing",2,5,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,No,,14-2021,,7,,,,F22-1445 Records_Part1.pdf,,
105,106,FHA,,,SURREY,4/11/2021,4/11/2021,,,"Maintenance/Trades/Construction",15,15,,No,No,Unknown,,No,No,,15-2021,,7,,,,F22-1445 Records_Part1.pdf,,
106,107,FHA,,,BURNABY,4/11/2021,4/11/2021,,,Retail,3,3,,No,No,Unknown,,No,No,,15-2021,,7,,,,F22-1445 Records_Part1.pdf,,
107,108,FHA,,,COQUITLAM,4/11/2021,4/26/2021,,,"Restaurant/Bar/Lounge",6,6,Closed,Yes,Yes,Unknown,4/12/2021,No,No,,15-2021,15-2021,7,,,,F22-1445 Records_Part1.pdf,,
108,109,FHA,,,COQUITLAM,4/11/2021,4/22/2021,,,"Restaurant/Bar/Lounge",4,4,,No,No,Unknown,,No,No,,15-2021,,7,,,,F22-1445 Records_Part1.pdf,,
109,110,FHA,,,DELTA,4/11/2021,4/14/2021,,,Farm/Agriculture,3,3,,No,No,Unknown,,No,No,,15-2021,,7,,,,F22-1445 Records_Part1.pdf,,
110,111,FHA,,,LANGLEY,4/11/2021,4/23/2021,,,"Restaurant/Bar/Lounge",7,7,,No,No,Unknown,,No,No,,15-2021,,7,,,,F22-1445 Records_Part1.pdf,,
111,112,FHA,,,LANGLEY,4/11/2021,4/19/2021,,,Office,3,3,Closed,Yes,Yes,Unknown,4/12/2021,No,No,,15-2021,15-2021,7,,,,F22-1445 Records_Part1.pdf,,
112,113,FHA,,,LANGLEY,4/11/2021,4/11/2021,,,"Restaurant/Bar/Lounge",3,3,,No,No,Unknown,,No,No,,15-2021,,7,,,,F22-1445 Records_Part1.pdf,,
113,114,FHA,,,LANGLEY,4/11/2021,5/20/2021,,,"Manufacturing/Industry",11,11,,No,No,Unknown,,No,No,,15-2021,,7,,,,F22-1445 Records_Part1.pdf,,
114,115,FHA,,,LANGLEY,4/11/2021,4/11/2021,,,"Restaurant/Bar/Lounge",3,3,,No,No,Unknown,,No,No,,15-2021,,8,,,,F22-1445 Records_Part1.pdf,,
115,116,FHA,,,"PORTCOQUITLAM",4/11/2021,4/28/2021,,,"Restaurant/Bar/Lounge",4,4,,No,No,Unknown,,No,No,,15-2021,,8,,,,F22-1445 Records_Part1.pdf,,
116,117,FHA,,,SURREY,4/11/2021,4/23/2021,,,Retail,6,6,Closed,Yes,Yes,Unknown,4/12/2021,No,No,,15-2021,15-2021,8,,,,F22-1445 Records_Part1.pdf,,
117,118,FHA,,,SURREY,4/11/2021,4/21/2021,,,Personal Care,3,3,Closed,Yes,Yes,Unknown,4/12/2021,No,No,,15-2021,15-2021,8,,,,F22-1445 Records_Part1.pdf,,
118,119,FHA,,,SURREY,4/11/2021,4/20/2021,,,"Restaurant/Bar/Lounge",4,4,,No,No,Unknown,,No,No,,15-2021,,8,,,,F22-1445 Records_Part1.pdf,,
119,120,FHA,,,AGASSIZ,4/11/2021,4/27/2021,,,"Hospitality/Services",57,57,Closed,Yes,Yes,Unknown,4/12/2021,No,No,,15-2021,15-2021,8,,,,F22-1445 Records_Part1.pdf,,
120,121,NHA,,,Unknown,4/11/2021,4/26/2021,,,"Shelter/SRO/Congregate Housing",3,3,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,No,,15-2021,,8,,,,F22-1445 Records_Part1.pdf,,
121,122,FHA,,,BURNABY,4/12/2021,4/20/2021,,,Retail,4,4,Closed,Yes,Yes,Unknown,4/13/2021,No,No,,15-2021,15-2021,8,,,,F22-1445 Records_Part1.pdf,,
122,123,FHA,,,BURNABY,4/12/2021,4/22/2021,,,Office,9,9,Closed,Yes,No,Unknown,4/13/2021,Yes,No,,15-2021,15-2021,8,,,,F22-1445 Records_Part1.pdf,,
123,124,FHA,,,BURNABY,4/12/2021,4/15/2021,,,Other,9,9,,No,No,Unknown,,No,No,,15-2021,,8,,,,F22-1445 Records_Part1.pdf,,
124,125,FHA,,,CHILLIWACK,4/12/2021,4/23/2021,,,Transportation,4,4,Closed,Yes,Yes,Unknown,4/13/2021,No,No,,15-2021,15-2021,8,,,,F22-1445 Records_Part1.pdf,,
125,126,FHA,,,DELTA,4/12/2021,4/19/2021,,,"Manufacturing/Industry",3,3,,No,No,Unknown,,No,No,,15-2021,,8,,,,F22-1445 Records_Part1.pdf,,
126,127,FHA,,,DELTA,4/12/2021,5/2/2021,,,Food Processing,14,14,Closed,Yes,Yes,Unknown,4/17/2021,No,No,,15-2021,15-2021,8,,,,F22-1445 Records_Part1.pdf,,
127,128,FHA,,,LANGLEY,4/12/2021,,,,"Manufacturing/Industry",10,10,Closed,Yes,No,Unknown,4/13/2021,Yes,No,,15-2021,15-2021,8,,,,F22-1445 Records_Part1.pdf,,
128,129,FHA,,,LANGLEY,4/12/2021,5/7/2021,,,Retail,4,4,Closed,Yes,Yes,Unknown,4/16/2021,No,No,,15-2021,15-2021,8,,,,F22-1445 Records_Part1.pdf,,
129,130,FHA,,,MISSION,4/12/2021,4/13/2021,,,Farm/Agriculture,3,3,,No,No,Unknown,,No,No,,15-2021,,8,,,,F22-1445 Records_Part1.pdf,,
130,131,FHA,,,"PITTMEADOWS",4/12/2021,4/18/2021,,,"Manufacturing/Industry",3,3,,No,No,Unknown,,No,No,,15-2021,,8,,,,F22-1445 Records_Part1.pdf,,
131,132,FHA,,,"PORTCOQUITLAM",4/12/2021,4/25/2021,,,"Restaurant/Bar/Lounge",6,6,Closed,Yes,Yes,Unknown,4/14/2021,No,No,,15-2021,15-2021,8,,,,F22-1445 Records_Part1.pdf,,
132,133,FHA,,,"ORTOQUITLAM",4/12/2021,4/16/2021,,,"Manufacturing/Industry",4,4,,No,No,Unknown,,No,No,,15-2021,,9,,,,F22-1445 Records_Part1.pdf,,
133,134,FHA,,,"ORTOQUITLAM",4/12/2021,5/14/2021,,,Food Processing,6,6,,No,No,Unknown,,No,No,,15-2021,,9,,,,F22-1445 Records_Part1.pdf,,
134,135,FHA,,,URREY,4/12/2021,4/14/2021,,,Other,3,3,,No,No,Unknown,,No,No,,15-2021,,9,,,,F22-1445 Records_Part1.pdf,,
135,136,FHA,,,URREY,4/12/2021,4/23/2021,,,Retail,4,4,Closed,Yes,Yes,Unknown,4/13/2021,No,No,,15-2021,15-2021,9,,,,F22-1445 Records_Part1.pdf,,
