,index,HA,workplace_name,workplace_address,city,date_cluster_confirmed_public_health,date_cluster_no_longer_active,earliest_reported_cases,latest_reported_cases,workplace_classification,cases_when_cluster_confirmed,total_cases,workplace_status,closure_y_n,closed_by_order,voluntary_closure,closure_date,partially_closed,unknown_closure_type,open,days_since_last_case,active_clusters,cluster_confirmed_epidate,doc_page_number,cluster_closed_epidate,file,flag
9153,60.0,fha,,,pitt meadows,2021-04-06,2021-04-06,,,office,5.0,5.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9154,61.0,fha,,,port moody,2021-04-06,2021-04-15,,,office,3.0,3.0,closed,yes,yes,unknown,2021-04-08,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9155,62.0,fha,,,surrey,2021-04-06,2021-04-16,,,retail,3.0,3.0,closed,yes,yes,unknown,2021-04-07,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9156,63.0,fha,,,surrey,2021-04-06,2021-04-16,,,food processing,5.0,5.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9157,64.0,fha,,,surrey,2021-04-06,2021-04-20,,,manufacturing/i ndustry,3.0,3.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9158,65.0,fha,,,surrey,2021-04-06,2021-04-19,,,manufacturing/i ndustry,3.0,3.0,closed,yes,yes,unknown,2021-04-09,no,,no,,,14-2021,,14-2021,f22-1445 records_part1.pdf,
9159,66.0,fha,,,burnaby,2021-04-07,2021-04-20,,,maintenance/tr ades/constructio n,4.0,4.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9160,67.0,fha,,,port coquitlam,2021-04-07,2021-04-16,,,transportation,4.0,4.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9161,68.0,fha,,,surrey,2021-04-07,2021-04-19,,,office,4.0,4.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9162,69.0,fha,,,abbotsford,2021-04-07,2021-05-14,,,retail,14.0,14.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9163,70.0,fha,,,burnaby,2021-04-07,2021-04-17,,,retail,3.0,3.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9164,71.0,fha,,,delta,2021-04-07,2021-04-20,,,maintenance/tr ades/constructio n,4.0,4.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9165,72.0,fha,,,delta,2021-04-07,2021-05-01,,,manufacturing/i ndustry,3.0,3.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9166,73.0,fha,,,langley,2021-04-07,2021-04-18,,,other,3.0,3.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9167,74.0,fha,,,langley,2021-04-07,2021-04-20,,,restaurant/bar/l ounge,3.0,3.0,closed,yes,yes,unknown,2021-04-09,no,,no,,,14-2021,,14-2021,f22-1445 records_part1.pdf,
9168,75.0,fha,,,maple ridge,2021-04-07,2021-04-23,,,gym/fitness,5.0,5.0,closed,yes,yes,unknown,2021-04-09,no,,no,,,14-2021,,14-2021,f22-1445 records_part1.pdf,
9169,76.0,fha,,,port coquitlam,2021-04-07,2021-04-19,,,food processing,5.0,5.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9170,77.0,fha,,,port coquitlam,2021-04-07,2021-05-11,,,office,5.0,5.0,closed,yes,yes,unknown,2021-04-22,no,,no,,,14-2021,,16-2021,f22-1445 records_part1.pdf,
9171,78.0,fha,,,surrey,2021-04-07,2021-04-22,,,restaurant/bar/l ounge,4.0,4.0,closed,yes,yes,unknown,2021-04-08,no,,no,,,14-2021,,14-2021,f22-1445 records_part1.pdf,
9172,79.0,fha,,,surrey,2021-04-07,2021-04-28,,,food processing,13.0,13.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9173,80.0,nha,,,unknown,2021-04-07,,,,manufacturing/i ndustry,,18.0,"open (if open, reason for non- closure)",no,no,no,,unknown,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9174,81.0,fha,,,burnaby,2021-04-08,2021-04-24,,,maintenance/tr ades/constructio n,17.0,17.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9175,82.0,fha,,,burnaby,2021-04-08,2021-05-11,,,gym/fitness,12.0,12.0,closed,yes,yes,unknown,2021-05-02,no,,no,,,14-2021,,18-2021,f22-1445 records_part1.pdf,
9176,83.0,fha,,,langley,2021-04-08,2021-04-26,,,retail,4.0,4.0,closed,yes,yes,unknown,2021-04-13,no,,no,,,14-2021,,15-2021,f22-1445 records_part1.pdf,
9177,84.0,fha,,,port moody,2021-04-08,,,,gym/fitness,21.0,21.0,closed,yes,yes,unknown,2021-04-14,no,,no,,,14-2021,,15-2021,f22-1445 records_part1.pdf,
9178,85.0,fha,,,surrey,2021-04-08,2021-04-29,,,office,12.0,12.0,closed,yes,no,unknown,2021-04-18,yes,,no,,,14-2021,,16-2021,f22-1445 records_part1.pdf,
9179,86.0,fha,,,surrey,2021-04-08,2021-04-22,,,restaurant/bar/l ounge,4.0,4.0,closed,yes,yes,unknown,2021-04-09,no,,no,,,14-2021,,14-2021,f22-1445 records_part1.pdf,
9180,87.0,fha,,,surrey,2021-04-08,2021-05-15,,,gym/fitness,10.0,10.0,closed,yes,yes,unknown,2021-04-12,no,,no,,,14-2021,,15-2021,f22-1445 records_part1.pdf,
9181,88.0,fha,,,abbotsford,2021-04-09,2021-05-17,,,office,28.0,28.0,closed,yes,yes,unknown,2021-04-10,no,,no,,,14-2021,,14-2021,f22-1445 records_part1.pdf,
9182,89.0,fha,,,abbotsford,2021-04-09,2021-04-30,,,manufacturing/i ndustry,14.0,14.0,closed,yes,yes,unknown,2021-04-10,no,,no,,,14-2021,,14-2021,f22-1445 records_part1.pdf,
9183,90.0,fha,,,burnaby,2021-04-09,2021-04-30,,,gym/fitness,12.0,12.0,closed,yes,yes,unknown,2021-04-15,no,,no,,,14-2021,,15-2021,f22-1445 records_part1.pdf,
9184,91.0,fha,,,coquitlam,2021-04-09,2021-04-19,,,restaurant/bar/l ounge,8.0,8.0,closed,yes,yes,unknown,2021-04-12,no,,no,,,14-2021,,15-2021,f22-1445 records_part1.pdf,
9185,92.0,fha,,,coquitlam,2021-04-09,2021-04-21,,,first responder,4.0,4.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9186,93.0,fha,,,coquitlam,2021-04-09,2021-05-02,,,retail,5.0,5.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9187,94.0,fha,,,new westminster,2021-04-09,2021-04-22,,,gym/fitness,5.0,5.0,closed,yes,yes,unknown,2021-04-10,no,,no,,,14-2021,,14-2021,f22-1445 records_part1.pdf,
9188,95.0,fha,,,port coquitlam,2021-04-09,2021-04-11,,,other,3.0,3.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9189,96.0,fha,,,surrey,2021-04-09,2021-04-21,,,warehouse,5.0,5.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9190,97.0,fha,,,surrey,2021-04-09,2021-04-19,,,manufacturing/i ndustry,4.0,4.0,closed,yes,yes,unknown,2021-04-12,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9191,98.0,fha,,,surrey,2021-04-09,2021-04-26,,,retail,4.0,4.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9192,99.0,fha,,,surrey,2021-04-09,2021-04-21,,,office,4.0,4.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9193,100.0,fha,,,surrey,2021-04-09,2021-04-23,,,office,6.0,6.0,closed,yes,yes,unknown,2021-04-12,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9194,101.0,fha,,,surrey,2021-04-09,,,,food processing,11.0,11.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9195,102.0,fha,,,burnaby,2021-04-10,2021-04-24,,,maintenance/tr ades/constructio n,4.0,4.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9196,103.0,fha,,,burnaby,2021-04-10,2021-04-28,,,retail,4.0,4.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9197,104.0,fha,,,delta,2021-04-10,2021-04-19,,,farm/agriculture,4.0,4.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9198,105.0,nha,,,unknown,2021-04-10,2021-04-26,,,shelter/sro/con gregate housing,2.0,5.0,"open (if open, reason for non- closure)",no,no,no,,unknown,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9199,106.0,fha,,,surrey,2021-04-11,2021-04-11,,,maintenance/tr ades/constructio n,15.0,15.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9200,107.0,fha,,,burnaby,2021-04-11,2021-04-11,,,retail,3.0,3.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9201,108.0,fha,,,coquitlam,2021-04-11,2021-04-26,,,restaurant/bar/l ounge,6.0,6.0,closed,yes,yes,unknown,2021-04-12,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9202,109.0,fha,,,coquitlam,2021-04-11,2021-04-22,,,restaurant/bar/l ounge,4.0,4.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9203,110.0,fha,,,delta,2021-04-11,2021-04-14,,,farm/agriculture,3.0,3.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9204,111.0,fha,,,langley,2021-04-11,2021-04-23,,,restaurant/bar/l ounge,7.0,7.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9205,112.0,fha,,,langley,2021-04-11,2021-04-19,,,office,3.0,3.0,closed,yes,yes,unknown,2021-04-12,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9206,113.0,fha,,,langley,2021-04-11,2021-04-11,,,restaurant/bar/l ounge,3.0,3.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9207,114.0,fha,,,langley,2021-04-11,2021-05-20,,,manufacturing/i ndustry,11.0,11.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9208,115.0,fha,,,langley,2021-04-11,2021-04-11,,,restaurant/bar/l ounge,3.0,3.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9209,116.0,fha,,,port coquitlam,2021-04-11,2021-04-28,,,restaurant/bar/l ounge,4.0,4.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9210,117.0,fha,,,surrey,2021-04-11,2021-04-23,,,retail,6.0,6.0,closed,yes,yes,unknown,2021-04-12,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9211,118.0,fha,,,surrey,2021-04-11,2021-04-21,,,personal care,3.0,3.0,closed,yes,yes,unknown,2021-04-12,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9212,119.0,fha,,,surrey,2021-04-11,2021-04-20,,,restaurant/bar/l ounge,4.0,4.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9213,120.0,fha,,,agassiz,2021-04-11,2021-04-27,,,hospitality/servi ces,57.0,57.0,closed,yes,yes,unknown,2021-04-12,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9214,121.0,nha,,,unknown,2021-04-11,2021-04-26,,,shelter/sro/con gregate housing,3.0,3.0,"open (if open, reason for non- closure)",no,no,no,,unknown,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9215,122.0,fha,,,burnaby,2021-04-12,2021-04-20,,,retail,4.0,4.0,closed,yes,yes,unknown,2021-04-13,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9216,123.0,fha,,,burnaby,2021-04-12,2021-04-22,,,office,9.0,9.0,closed,yes,no,unknown,2021-04-13,yes,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9217,124.0,fha,,,burnaby,2021-04-12,2021-04-15,,,other,9.0,9.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9218,125.0,fha,,,chilliwack,2021-04-12,2021-04-23,,,transportation,4.0,4.0,closed,yes,yes,unknown,2021-04-13,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9219,126.0,fha,,,delta,2021-04-12,2021-04-19,,,manufacturing/i ndustry,3.0,3.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9220,127.0,fha,,,delta,2021-04-12,2021-05-02,,,food processing,14.0,14.0,closed,yes,yes,unknown,2021-04-17,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9221,128.0,fha,,,langley,2021-04-12,,,,manufacturing/i ndustry,10.0,10.0,closed,yes,no,unknown,2021-04-13,yes,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9222,129.0,fha,,,langley,2021-04-12,2021-05-07,,,retail,4.0,4.0,closed,yes,yes,unknown,2021-04-16,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9223,130.0,fha,,,mission,2021-04-12,2021-04-13,,,farm/agriculture,3.0,3.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9224,131.0,fha,,,pitt meadows,2021-04-12,2021-04-18,,,manufacturing/i ndustry,3.0,3.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9225,132.0,fha,,,port coquitlam,2021-04-12,2021-04-25,,,restaurant/bar/l ounge,6.0,6.0,closed,yes,yes,unknown,2021-04-14,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9226,133.0,fha,,,ort oquitlam,2021-04-12,2021-04-16,,,manufacturing/i ndustry,4.0,4.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9227,134.0,fha,,,ort oquitlam,2021-04-12,2021-05-14,,,food processing,6.0,6.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9228,135.0,fha,,,urrey,2021-04-12,2021-04-14,,,other,3.0,3.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9229,136.0,fha,,,urrey,2021-04-12,2021-04-23,,,retail,4.0,4.0,closed,yes,yes,unknown,2021-04-13,no,,no,,,15-2021,,15-2021,f22-1445 records_part1.pdf,
9230,137.0,fha,,,urrey,2021-04-12,2021-04-24,,,office,3.0,3.0,closed,yes,yes,unknown,2021-04-14,no,,no,,,15-2021,,15-2021,f22-1445 records_part1.pdf,
9231,138.0,fha,,,urrey,2021-04-12,2021-04-24,,,manufacturing/i ndustry,4.0,4.0,closed,yes,yes,unknown,2021-04-15,no,,no,,,15-2021,,15-2021,f22-1445 records_part1.pdf,
9232,139.0,fha,,,urrey,2021-04-12,2021-04-25,,,transportation,4.0,4.0,closed,yes,yes,unknown,2021-04-14,no,,no,,,15-2021,,15-2021,f22-1445 records_part1.pdf,
9233,140.0,nha,,,nknown,2021-04-12,2021-04-29,,,manufacturing/i ndustry,6.0,6.0,"open (if open, reason for non- closure)",no,no,no,,unknown,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9234,141.0,fha,,,bbotsford,2021-04-13,2021-04-28,,,gym/fitness,15.0,15.0,closed,yes,yes,unknown,2021-04-15,no,,no,,,15-2021,,15-2021,f22-1445 records_part1.pdf,
9235,142.0,fha,,,urnaby,2021-04-13,2021-05-04,,,gym/fitness,5.0,5.0,closed,yes,yes,unknown,2021-04-18,no,,no,,,15-2021,,16-2021,f22-1445 records_part1.pdf,
9236,143.0,fha,,,elta,2021-04-13,2021-05-21,,,other,17.0,17.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9237,144.0,fha,,,urrey,2021-04-13,2021-04-21,,,gym/fitness,4.0,4.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
9238,145.0,fha,,,urrey,2021-04-13,2021-05-04,,,transportation,3.0,3.0,,no,no,unknown,,no,,no,,,15-2021,,,f22-1445 records_part1.pdf,
