,index,HA,workplace_name,workplace_address,city,date_cluster_confirmed_public_health,date_cluster_no_longer_active,earliest_reported_cases,latest_reported_cases,workplace_classification,cases_when_cluster_confirmed,total_cases,workplace_status,closure_y_n,closed_by_order,voluntary_closure,closure_date,partially_closed,unknown_closure_type,open,days_since_last_case,active_clusters,cluster_confirmed_epidate,doc_page_number,cluster_closed_epidate,file,flag
9104,11,FHA,,,MAPLE RIDGE,2021-04-01,2021-04-18,,,"Restaurant/Bar/Lounge",16,16,Closed,Yes,Yes,Unknown,2021-04-06,No,,No,,,13-2021,1,14-2021,F22-1445 Records_Part1.pdf,
9105,12,FHA,,,MISSION,2021-04-01,2021-04-19,,,"Restaurant/Bar/Lounge",4,4,Closed,Yes,Yes,Unknown,2021-04-01,No,,No,,,13-2021,1,13-2021,F22-1445 Records_Part1.pdf,
9106,13,FHA,,,SURREY,2021-04-01,2021-04-23,,,Gym/Fitness,7,7,,No,No,Unknown,,No,,No,,,13-2021,1,,F22-1445 Records_Part1.pdf,
9107,14,FHA,,,SURREY,2021-04-01,2021-04-14,,,Office,3,3,Closed,Yes,Yes,Unknown,2021-04-03,No,,No,,,13-2021,1,13-2021,F22-1445 Records_Part1.pdf,
9108,15,FHA,,,SURREY,2021-04-01,2021-04-22,,,"Restaurant/Bar/Lounge",9,9,Closed,Yes,Yes,Unknown,2021-04-12,No,,No,,,13-2021,1,15-2021,F22-1445 Records_Part1.pdf,
9109,16,FHA,,,ABBOTSFORD,2021-04-02,2021-04-19,,,Gym/Fitness,12,12,Closed,Yes,Yes,Unknown,2021-04-03,No,,No,,,13-2021,1,13-2021,F22-1445 Records_Part1.pdf,
9110,17,FHA,,,LANGLEY,2021-04-02,2021-04-24,,,Personal Care,4,4,,No,No,Unknown,,No,,No,,,13-2021,2,,F22-1445 Records_Part1.pdf,
9111,18,FHA,,,BURNABY,2021-04-02,2021-04-16,,,Food Processing,6,6,Closed,Yes,Yes,Unknown,2021-04-05,No,,No,,,13-2021,2,,F22-1445 Records_Part1.pdf,
9112,19,FHA,,,COQUITLAM,2021-04-02,2021-04-07,,,Other,5,5,,No,No,Unknown,,No,,No,,,13-2021,2,,F22-1445 Records_Part1.pdf,
9113,20,FHA,,,DELTA,2021-04-02,2021-04-10,,,Office,3,3,,No,No,Unknown,,No,,No,,,13-2021,2,,F22-1445 Records_Part1.pdf,
9114,21,FHA,,,LANGLEY,2021-04-02,2021-04-05,,,Retail,4,4,,No,No,Unknown,,No,,No,,,13-2021,2,,F22-1445 Records_Part1.pdf,
9115,22,FHA,,,LANGLEY,2021-04-02,2021-04-17,,,Farm/Agriculture,5,5,,No,No,Unknown,,No,,No,,,13-2021,2,,F22-1445 Records_Part1.pdf,
9116,23,FHA,,,"PORTCOQUITLAM",2021-04-02,2021-04-18,,,First Responder,3,3,,No,No,Unknown,,No,,No,,,13-2021,2,,F22-1445 Records_Part1.pdf,
9117,24,FHA,,,SURREY,2021-04-02,2021-04-18,,,Retail,5,5,,No,No,Unknown,,No,,No,,,13-2021,2,,F22-1445 Records_Part1.pdf,
9118,25,FHA,,,SURREY,2021-04-02,2021-04-28,,,"Manufacturing/Industry",4,4,,No,No,Unknown,,No,,No,,,13-2021,2,,F22-1445 Records_Part1.pdf,
9119,26,FHA,,,BURNABY,2021-04-04,2021-04-22,,,Gym/Fitness,6,6,Closed,Yes,Yes,Unknown,2021-04-02,No,,No,,,14-2021,2,,F22-1445 Records_Part1.pdf,
9120,27,FHA,,,"PITTMEADOWS",2021-04-04,2021-05-03,,,Farm/Agriculture,8,8,,No,No,Unknown,,No,,No,,,14-2021,2,,F22-1445 Records_Part1.pdf,
9121,28,FHA,,,SURREY,2021-04-04,2021-04-10,,,Office,8,8,Closed,Yes,Yes,Unknown,2021-04-04,No,,No,,,14-2021,2,,F22-1445 Records_Part1.pdf,
9122,29,NHA,,,Unknown,2021-04-04,2021-04-26,,,"Shelter/SRO/Congregate Housing",3,6,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,,No,,,14-2021,2,,F22-1445 Records_Part1.pdf,
9123,30,NHA,,,Unknown,2021-04-04,2021-04-26,,,"Shelter/SRO/Congregate Housing",,11,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,,No,,,14-2021,2,,F22-1445 Records_Part1.pdf,
9124,31,NHA,,,Unknown,2021-04-04,2021-04-26,,,"Shelter/SRO/Congregate Housing",,5,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,,No,,,14-2021,2,,F22-1445 Records_Part1.pdf,
9125,32,NHA,,,nknown,2021-04-04,2021-05-05,,,"Health CareFacility(Acute/LTC)",,5,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,,No,,,14-2021,3,,F22-1445 Records_Part1.pdf,
9126,33,FHA,,,ELTA,2021-04-05,2021-04-16,,,"Restaurant/Bar/Lounge",4,4,Closed,Yes,Yes,Unknown,2021-04-07,No,,No,,,14-2021,3,14-2021,F22-1445 Records_Part1.pdf,
9127,34,FHA,,,BBOTSFORD,2021-04-05,2021-04-21,,,Warehouse,3,3,,No,No,Unknown,,No,,No,,,14-2021,3,,F22-1445 Records_Part1.pdf,
9128,35,FHA,,,URNABY,2021-04-05,2021-04-23,,,Office,3,3,Closed,Yes,Yes,Unknown,2021-04-06,No,,No,,,14-2021,3,14-2021,F22-1445 Records_Part1.pdf,
9129,36,FHA,,,URNABY,2021-04-05,2021-05-07,,,"Manufacturing/Industry",12,12,,No,No,Unknown,,No,,No,,,14-2021,3,,F22-1445 Records_Part1.pdf,
9130,37,FHA,,,URNABY,2021-04-05,2021-04-24,,,"Manufacturing/Industry",4,4,,No,No,Unknown,,No,,No,,,14-2021,3,,F22-1445 Records_Part1.pdf,
9131,38,FHA,,,URNABY,2021-04-05,2021-04-21,,,Other,9,9,,No,No,Unknown,,No,,No,,,14-2021,3,,F22-1445 Records_Part1.pdf,
9132,39,FHA,,,ELTA,2021-04-05,2021-04-21,,,Food Processing,5,5,,No,No,Unknown,,No,,No,,,14-2021,3,,F22-1445 Records_Part1.pdf,
9133,40,FHA,,,ELTA,2021-04-05,2021-05-21,,,Food Processing,9,9,,No,No,Unknown,,No,,No,,,14-2021,3,,F22-1445 Records_Part1.pdf,
9134,41,FHA,,,ELTA,2021-04-05,2021-04-21,,,"Restaurant/Bar/Lounge",24,24,Closed,Yes,Yes,Unknown,2021-04-08,No,,No,,,14-2021,3,14-2021,F22-1445 Records_Part1.pdf,
9135,42,FHA,,,ANGLEY,2021-04-05,2021-04-19,,,"Manufacturing/Industry",4,4,,No,No,Unknown,,No,,No,,,14-2021,3,,F22-1445 Records_Part1.pdf,
9136,43,FHA,,,APLE RIDGE,2021-04-05,2021-04-23,,,Office,6,6,Closed,Yes,Yes,Unknown,2021-04-12,No,,No,,,14-2021,3,15-2021,F22-1445 Records_Part1.pdf,
9137,44,FHA,,,"ORTOQUITLAM",2021-04-05,2021-05-22,,,"Restaurant/Bar/Lounge",9,9,,No,No,Unknown,,No,,No,,,14-2021,3,,F22-1445 Records_Part1.pdf,
9138,45,FHA,,,URREY,2021-04-05,2021-04-12,,,"Restaurant/Bar/Lounge",4,4,Closed,Yes,Yes,Unknown,2021-04-05,No,,No,,,14-2021,3,14-2021,F22-1445 Records_Part1.pdf,
9139,46,FHA,,,URREY,2021-04-05,2021-04-13,,,Office,4,4,Closed,Yes,Yes,Unknown,2021-04-06,No,,No,,,14-2021,3,14-2021,F22-1445 Records_Part1.pdf,
9140,47,FHA,,,URREY,2021-04-05,2021-04-18,,,Office,6,6,,No,No,Unknown,,No,,No,,,14-2021,3,,F22-1445 Records_Part1.pdf,
9141,48,FHA,,,URREY,2021-04-05,2021-04-21,,,Other,3,3,,No,No,Unknown,,No,,No,,,14-2021,3,,F22-1445 Records_Part1.pdf,
9142,49,FHA,,,SURREY,2021-04-05,2021-04-15,,,"Restaurant/Bar/Lounge",3,3,,No,No,Unknown,,No,,No,,,14-2021,4,,F22-1445 Records_Part1.pdf,
9143,50,NHA,,,Unknown,2021-04-05,2021-04-13,,,"Manufacturing/Industry",,3,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,,No,,,14-2021,4,,F22-1445 Records_Part1.pdf,
9144,51,NHA,,,Unknown,2021-04-05,2021-04-20,,,"Shelter/SRO/Congregate Housing",,7,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,,No,,,14-2021,4,,F22-1445 Records_Part1.pdf,
9145,52,FHA,,,SURREY,2021-04-06,2021-04-16,,,Retail,5,5,Closed,Yes,Yes,Unknown,2021-04-08,No,,No,,,14-2021,4,,F22-1445 Records_Part1.pdf,
9146,53,FHA,,,LANGLEY,2021-04-06,2021-04-20,,,"Restaurant/Bar/Lounge",3,3,,No,No,Unknown,,No,,No,,,14-2021,4,,F22-1445 Records_Part1.pdf,
9147,54,FHA,,,ABBOTSFORD,2021-04-06,2021-04-19,,,"Restaurant/Bar/Lounge",5,5,Closed,Yes,Yes,Unknown,2021-04-06,No,,No,,,14-2021,4,,F22-1445 Records_Part1.pdf,
9148,55,FHA,,,BURNABY,2021-04-06,2021-04-24,,,Retail,6,6,,No,No,Unknown,,No,,No,,,14-2021,4,,F22-1445 Records_Part1.pdf,
9149,56,FHA,,,DELTA,2021-04-06,2021-04-14,,,"Manufacturing/Industry",3,3,,No,No,Unknown,,No,,No,,,14-2021,4,,F22-1445 Records_Part1.pdf,
9150,57,FHA,,,DELTA,2021-04-06,2021-04-21,,,Retail,4,4,,No,No,Unknown,,No,,No,,,14-2021,4,,F22-1445 Records_Part1.pdf,
9151,58,FHA,,,LANGLEY,2021-04-06,2021-04-30,,,"Manufacturing/Industry",5,5,,No,No,Unknown,,No,,No,,,14-2021,4,,F22-1445 Records_Part1.pdf,
9152,59,FHA,,,"NEWWESTMINSTER",2021-04-06,2021-04-14,,,Personal Care,4,4,Closed,Yes,Yes,Unknown,2021-04-09,No,,No,,,14-2021,4,,F22-1445 Records_Part1.pdf,
9153,60,FHA,,,"PITTMEADOWS",2021-04-06,2021-04-06,,,Office,5,5,,No,No,Unknown,,No,,No,,,14-2021,4,,F22-1445 Records_Part1.pdf,
9154,61,FHA,,,PORT MOODY,2021-04-06,2021-04-15,,,Office,3,3,Closed,Yes,Yes,Unknown,2021-04-08,No,,No,,,14-2021,4,,F22-1445 Records_Part1.pdf,
9155,62,FHA,,,SURREY,2021-04-06,2021-04-16,,,Retail,3,3,Closed,Yes,Yes,Unknown,2021-04-07,No,,No,,,14-2021,4,,F22-1445 Records_Part1.pdf,
9156,63,FHA,,,SURREY,2021-04-06,2021-04-16,,,Food Processing,5,5,,No,No,Unknown,,No,,No,,,14-2021,4,,F22-1445 Records_Part1.pdf,
9157,64,FHA,,,SURREY,2021-04-06,2021-04-20,,,"Manufacturing/Industry",3,3,,No,No,Unknown,,No,,No,,,14-2021,5,,F22-1445 Records_Part1.pdf,
9158,65,FHA,,,SURREY,2021-04-06,2021-04-19,,,"Manufacturing/Industry",3,3,Closed,Yes,Yes,Unknown,2021-04-09,No,,No,,,14-2021,5,14-2021,F22-1445 Records_Part1.pdf,
9159,66,FHA,,,BURNABY,2021-04-07,2021-04-20,,,"Maintenance/Trades/Construction",4,4,,No,No,Unknown,,No,,No,,,14-2021,5,,F22-1445 Records_Part1.pdf,
9160,67,FHA,,,"PORTCOQUITLAM",2021-04-07,2021-04-16,,,Transportation,4,4,,No,No,Unknown,,No,,No,,,14-2021,5,,F22-1445 Records_Part1.pdf,
9161,68,FHA,,,SURREY,2021-04-07,2021-04-19,,,Office,4,4,,No,No,Unknown,,No,,No,,,14-2021,5,,F22-1445 Records_Part1.pdf,
9162,69,FHA,,,ABBOTSFORD,2021-04-07,2021-05-14,,,Retail,14,14,,No,No,Unknown,,No,,No,,,14-2021,5,,F22-1445 Records_Part1.pdf,
9163,70,FHA,,,BURNABY,2021-04-07,2021-04-17,,,Retail,3,3,,No,No,Unknown,,No,,No,,,14-2021,5,,F22-1445 Records_Part1.pdf,
9164,71,FHA,,,DELTA,2021-04-07,2021-04-20,,,"Maintenance/Trades/Construction",4,4,,No,No,Unknown,,No,,No,,,14-2021,5,,F22-1445 Records_Part1.pdf,
9165,72,FHA,,,DELTA,2021-04-07,2021-05-01,,,"Manufacturing/Industry",3,3,,No,No,Unknown,,No,,No,,,14-2021,5,,F22-1445 Records_Part1.pdf,
9166,73,FHA,,,LANGLEY,2021-04-07,2021-04-18,,,Other,3,3,,No,No,Unknown,,No,,No,,,14-2021,5,,F22-1445 Records_Part1.pdf,
9167,74,FHA,,,LANGLEY,2021-04-07,2021-04-20,,,"Restaurant/Bar/Lounge",3,3,Closed,Yes,Yes,Unknown,2021-04-09,No,,No,,,14-2021,5,14-2021,F22-1445 Records_Part1.pdf,
9168,75,FHA,,,MAPLE RIDGE,2021-04-07,2021-04-23,,,Gym/Fitness,5,5,Closed,Yes,Yes,Unknown,2021-04-09,No,,No,,,14-2021,5,14-2021,F22-1445 Records_Part1.pdf,
9169,76,FHA,,,"PORTCOQUITLAM",2021-04-07,2021-04-19,,,Food Processing,5,5,,No,No,Unknown,,No,,No,,,14-2021,5,,F22-1445 Records_Part1.pdf,
9170,77,FHA,,,"PORTCOQUITLAM",2021-04-07,2021-05-11,,,Office,5,5,Closed,Yes,Yes,Unknown,2021-04-22,No,,No,,,14-2021,5,16-2021,F22-1445 Records_Part1.pdf,
9171,78,FHA,,,SURREY,2021-04-07,2021-04-22,,,"Restaurant/Bar/Lounge",4,4,Closed,Yes,Yes,Unknown,2021-04-08,No,,No,,,14-2021,5,14-2021,F22-1445 Records_Part1.pdf,
9172,79,FHA,,,SURREY,2021-04-07,2021-04-28,,,Food Processing,13,13,,No,No,Unknown,,No,,No,,,14-2021,5,,F22-1445 Records_Part1.pdf,
9173,80,NHA,,,Unknown,2021-04-07,,,,"Manufacturing/Industry",,18,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,,No,,,14-2021,5,,F22-1445 Records_Part1.pdf,
9174,81,FHA,,,BURNABY,2021-04-08,2021-04-24,,,"Maintenance/Trades/Construction",17,17,,No,No,Unknown,,No,,No,,,14-2021,6,,F22-1445 Records_Part1.pdf,
9175,82,FHA,,,BURNABY,2021-04-08,2021-05-11,,,Gym/Fitness,12,12,Closed,Yes,Yes,Unknown,2021-05-02,No,,No,,,14-2021,6,18-2021,F22-1445 Records_Part1.pdf,
9176,83,FHA,,,LANGLEY,2021-04-08,2021-04-26,,,Retail,4,4,Closed,Yes,Yes,Unknown,2021-04-13,No,,No,,,14-2021,6,15-2021,F22-1445 Records_Part1.pdf,
9177,84,FHA,,,PORT MOODY,2021-04-08,,,,Gym/Fitness,21,21,Closed,Yes,Yes,Unknown,2021-04-14,No,,No,,,14-2021,6,15-2021,F22-1445 Records_Part1.pdf,
9178,85,FHA,,,SURREY,2021-04-08,2021-04-29,,,Office,12,12,Closed,Yes,No,Unknown,2021-04-18,Yes,,No,,,14-2021,6,16-2021,F22-1445 Records_Part1.pdf,
9179,86,FHA,,,SURREY,2021-04-08,2021-04-22,,,"Restaurant/Bar/Lounge",4,4,Closed,Yes,Yes,Unknown,2021-04-09,No,,No,,,14-2021,6,14-2021,F22-1445 Records_Part1.pdf,
9180,87,FHA,,,SURREY,2021-04-08,2021-05-15,,,Gym/Fitness,10,10,Closed,Yes,Yes,Unknown,2021-04-12,No,,No,,,14-2021,6,15-2021,F22-1445 Records_Part1.pdf,
9181,88,FHA,,,ABBOTSFORD,2021-04-09,2021-05-17,,,Office,28,28,Closed,Yes,Yes,Unknown,2021-04-10,No,,No,,,14-2021,6,14-2021,F22-1445 Records_Part1.pdf,
9182,89,FHA,,,ABBOTSFORD,2021-04-09,2021-04-30,,,"Manufacturing/Industry",14,14,Closed,Yes,Yes,Unknown,2021-04-10,No,,No,,,14-2021,6,14-2021,F22-1445 Records_Part1.pdf,
9183,90,FHA,,,BURNABY,2021-04-09,2021-04-30,,,Gym/Fitness,12,12,Closed,Yes,Yes,Unknown,2021-04-15,No,,No,,,14-2021,6,15-2021,F22-1445 Records_Part1.pdf,
9184,91,FHA,,,COQUITLAM,2021-04-09,2021-04-19,,,"Restaurant/Bar/Lounge",8,8,Closed,Yes,Yes,Unknown,2021-04-12,No,,No,,,14-2021,6,15-2021,F22-1445 Records_Part1.pdf,
9185,92,FHA,,,COQUITLAM,2021-04-09,2021-04-21,,,First Responder,4,4,,No,No,Unknown,,No,,No,,,14-2021,6,,F22-1445 Records_Part1.pdf,
9186,93,FHA,,,COQUITLAM,2021-04-09,2021-05-02,,,Retail,5,5,,No,No,Unknown,,No,,No,,,14-2021,6,,F22-1445 Records_Part1.pdf,
9187,94,FHA,,,"NEWWESTMINSTER",2021-04-09,2021-04-22,,,Gym/Fitness,5,5,Closed,Yes,Yes,Unknown,2021-04-10,No,,No,,,14-2021,6,14-2021,F22-1445 Records_Part1.pdf,
9188,95,FHA,,,"PORTCOQUITLAM",2021-04-09,2021-04-11,,,Other,3,3,,No,No,Unknown,,No,,No,,,14-2021,6,,F22-1445 Records_Part1.pdf,
9189,96,FHA,,,SURREY,2021-04-09,2021-04-21,,,Warehouse,5,5,,No,No,Unknown,,No,,No,,,14-2021,7,,F22-1445 Records_Part1.pdf,
9190,97,FHA,,,SURREY,2021-04-09,2021-04-19,,,"Manufacturing/Industry",4,4,Closed,Yes,Yes,Unknown,2021-04-12,No,,No,,,14-2021,7,,F22-1445 Records_Part1.pdf,
9191,98,FHA,,,SURREY,2021-04-09,2021-04-26,,,Retail,4,4,,No,No,Unknown,,No,,No,,,14-2021,7,,F22-1445 Records_Part1.pdf,
9192,99,FHA,,,SURREY,2021-04-09,2021-04-21,,,Office,4,4,,No,No,Unknown,,No,,No,,,14-2021,7,,F22-1445 Records_Part1.pdf,
9193,100,FHA,,,SURREY,2021-04-09,2021-04-23,,,Office,6,6,Closed,Yes,Yes,Unknown,2021-04-12,No,,No,,,14-2021,7,,F22-1445 Records_Part1.pdf,
9194,101,FHA,,,SURREY,2021-04-09,,,,Food Processing,11,11,,No,No,Unknown,,No,,No,,,14-2021,7,,F22-1445 Records_Part1.pdf,
9195,102,FHA,,,BURNABY,2021-04-10,2021-04-24,,,"Maintenance/Trades/Construction",4,4,,No,No,Unknown,,No,,No,,,14-2021,7,,F22-1445 Records_Part1.pdf,
9196,103,FHA,,,BURNABY,2021-04-10,2021-04-28,,,Retail,4,4,,No,No,Unknown,,No,,No,,,14-2021,7,,F22-1445 Records_Part1.pdf,
9197,104,FHA,,,DELTA,2021-04-10,2021-04-19,,,Farm/Agriculture,4,4,,No,No,Unknown,,No,,No,,,14-2021,7,,F22-1445 Records_Part1.pdf,
9198,105,NHA,,,Unknown,2021-04-10,2021-04-26,,,"Shelter/SRO/Congregate Housing",2,5,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,,No,,,14-2021,7,,F22-1445 Records_Part1.pdf,
9199,106,FHA,,,SURREY,2021-04-11,2021-04-11,,,"Maintenance/Trades/Construction",15,15,,No,No,Unknown,,No,,No,,,15-2021,7,,F22-1445 Records_Part1.pdf,
9200,107,FHA,,,BURNABY,2021-04-11,2021-04-11,,,Retail,3,3,,No,No,Unknown,,No,,No,,,15-2021,7,,F22-1445 Records_Part1.pdf,
9201,108,FHA,,,COQUITLAM,2021-04-11,2021-04-26,,,"Restaurant/Bar/Lounge",6,6,Closed,Yes,Yes,Unknown,2021-04-12,No,,No,,,15-2021,7,,F22-1445 Records_Part1.pdf,
9202,109,FHA,,,COQUITLAM,2021-04-11,2021-04-22,,,"Restaurant/Bar/Lounge",4,4,,No,No,Unknown,,No,,No,,,15-2021,7,,F22-1445 Records_Part1.pdf,
9203,110,FHA,,,DELTA,2021-04-11,2021-04-14,,,Farm/Agriculture,3,3,,No,No,Unknown,,No,,No,,,15-2021,7,,F22-1445 Records_Part1.pdf,
9204,111,FHA,,,LANGLEY,2021-04-11,2021-04-23,,,"Restaurant/Bar/Lounge",7,7,,No,No,Unknown,,No,,No,,,15-2021,7,,F22-1445 Records_Part1.pdf,
9205,112,FHA,,,LANGLEY,2021-04-11,2021-04-19,,,Office,3,3,Closed,Yes,Yes,Unknown,2021-04-12,No,,No,,,15-2021,7,,F22-1445 Records_Part1.pdf,
9206,113,FHA,,,LANGLEY,2021-04-11,2021-04-11,,,"Restaurant/Bar/Lounge",3,3,,No,No,Unknown,,No,,No,,,15-2021,7,,F22-1445 Records_Part1.pdf,
9207,114,FHA,,,LANGLEY,2021-04-11,2021-05-20,,,"Manufacturing/Industry",11,11,,No,No,Unknown,,No,,No,,,15-2021,7,,F22-1445 Records_Part1.pdf,
9208,115,FHA,,,LANGLEY,2021-04-11,2021-04-11,,,"Restaurant/Bar/Lounge",3,3,,No,No,Unknown,,No,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9209,116,FHA,,,"PORTCOQUITLAM",2021-04-11,2021-04-28,,,"Restaurant/Bar/Lounge",4,4,,No,No,Unknown,,No,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9210,117,FHA,,,SURREY,2021-04-11,2021-04-23,,,Retail,6,6,Closed,Yes,Yes,Unknown,2021-04-12,No,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9211,118,FHA,,,SURREY,2021-04-11,2021-04-21,,,Personal Care,3,3,Closed,Yes,Yes,Unknown,2021-04-12,No,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9212,119,FHA,,,SURREY,2021-04-11,2021-04-20,,,"Restaurant/Bar/Lounge",4,4,,No,No,Unknown,,No,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9213,120,FHA,,,AGASSIZ,2021-04-11,2021-04-27,,,"Hospitality/Services",57,57,Closed,Yes,Yes,Unknown,2021-04-12,No,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9214,121,NHA,,,Unknown,2021-04-11,2021-04-26,,,"Shelter/SRO/Congregate Housing",3,3,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9215,122,FHA,,,BURNABY,2021-04-12,2021-04-20,,,Retail,4,4,Closed,Yes,Yes,Unknown,2021-04-13,No,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9216,123,FHA,,,BURNABY,2021-04-12,2021-04-22,,,Office,9,9,Closed,Yes,No,Unknown,2021-04-13,Yes,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9217,124,FHA,,,BURNABY,2021-04-12,2021-04-15,,,Other,9,9,,No,No,Unknown,,No,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9218,125,FHA,,,CHILLIWACK,2021-04-12,2021-04-23,,,Transportation,4,4,Closed,Yes,Yes,Unknown,2021-04-13,No,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9219,126,FHA,,,DELTA,2021-04-12,2021-04-19,,,"Manufacturing/Industry",3,3,,No,No,Unknown,,No,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9220,127,FHA,,,DELTA,2021-04-12,2021-05-02,,,Food Processing,14,14,Closed,Yes,Yes,Unknown,2021-04-17,No,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9221,128,FHA,,,LANGLEY,2021-04-12,,,,"Manufacturing/Industry",10,10,Closed,Yes,No,Unknown,2021-04-13,Yes,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9222,129,FHA,,,LANGLEY,2021-04-12,2021-05-07,,,Retail,4,4,Closed,Yes,Yes,Unknown,2021-04-16,No,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9223,130,FHA,,,MISSION,2021-04-12,2021-04-13,,,Farm/Agriculture,3,3,,No,No,Unknown,,No,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9224,131,FHA,,,"PITTMEADOWS",2021-04-12,2021-04-18,,,"Manufacturing/Industry",3,3,,No,No,Unknown,,No,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9225,132,FHA,,,"PORTCOQUITLAM",2021-04-12,2021-04-25,,,"Restaurant/Bar/Lounge",6,6,Closed,Yes,Yes,Unknown,2021-04-14,No,,No,,,15-2021,8,,F22-1445 Records_Part1.pdf,
9226,133,FHA,,,"ORTOQUITLAM",2021-04-12,2021-04-16,,,"Manufacturing/Industry",4,4,,No,No,Unknown,,No,,No,,,15-2021,9,,F22-1445 Records_Part1.pdf,
9227,134,FHA,,,"ORTOQUITLAM",2021-04-12,2021-05-14,,,Food Processing,6,6,,No,No,Unknown,,No,,No,,,15-2021,9,,F22-1445 Records_Part1.pdf,
9228,135,FHA,,,URREY,2021-04-12,2021-04-14,,,Other,3,3,,No,No,Unknown,,No,,No,,,15-2021,9,,F22-1445 Records_Part1.pdf,
9229,136,FHA,,,URREY,2021-04-12,2021-04-23,,,Retail,4,4,Closed,Yes,Yes,Unknown,2021-04-13,No,,No,,,15-2021,9,15-2021,F22-1445 Records_Part1.pdf,
9230,137,FHA,,,URREY,2021-04-12,2021-04-24,,,Office,3,3,Closed,Yes,Yes,Unknown,2021-04-14,No,,No,,,15-2021,9,15-2021,F22-1445 Records_Part1.pdf,
9231,138,FHA,,,URREY,2021-04-12,2021-04-24,,,"Manufacturing/Industry",4,4,Closed,Yes,Yes,Unknown,2021-04-15,No,,No,,,15-2021,9,15-2021,F22-1445 Records_Part1.pdf,
