,index,HA,workplace_name,workplace_address,city,date_cluster_confirmed_public_health,date_cluster_no_longer_active,earliest_reported_cases,latest_reported_cases,workplace_classification,cases_when_cluster_confirmed,total_cases,workplace_status,closure_y_n,closed_by_order,voluntary_closure,closure_date,partially_closed,unknown_closure_type,open,days_since_last_case,active_clusters,cluster_confirmed_epidate,doc_page_number,cluster_closed_epidate,file,flag,consolidated_status
9105,12.0,FHA,,,Mission,2021-04-01,2021-04-19,,,Restaurant/Bar/Lounge,4.0,4.0,Closed,Yes,,Unknown,2021-04-01,No,,No,,No,13-2021,1,13-2021,F22-1445 Records_Part1.pdf,,Closed
9106,13.0,FHA,,,Surrey,2021-04-01,2021-04-23,,,Gym/Fitness,7.0,7.0,,No,,Unknown,,No,,No,,No,13-2021,1,,F22-1445 Records_Part1.pdf,,
9107,14.0,FHA,,,Surrey,2021-04-01,2021-04-14,,,Office,3.0,3.0,Closed,Yes,,Unknown,2021-04-03,No,,No,,No,13-2021,1,13-2021,F22-1445 Records_Part1.pdf,,Closed
9108,15.0,FHA,,,Surrey,2021-04-01,2021-04-22,,,Restaurant/Bar/Lounge,9.0,9.0,Closed,Yes,,Unknown,2021-04-12,No,,No,,No,13-2021,1,15-2021,F22-1445 Records_Part1.pdf,,Closed
9109,16.0,FHA,,,Abbotsford,2021-04-02,2021-04-19,,,Gym/Fitness,12.0,12.0,Closed,Yes,,Unknown,2021-04-03,No,,No,,No,13-2021,1,13-2021,F22-1445 Records_Part1.pdf,,Closed
9110,17.0,FHA,,,Langley,2021-04-02,2021-04-24,,,Personal Care,4.0,4.0,,No,,Unknown,,No,,No,,No,13-2021,2,,F22-1445 Records_Part1.pdf,,
9111,18.0,FHA,,,Burnaby,2021-04-02,2021-04-16,,,Food Processing,6.0,6.0,Closed,Yes,,Unknown,2021-04-05,No,,No,,No,13-2021,2,,F22-1445 Records_Part1.pdf,,Closed
9112,19.0,FHA,,,Coquitlam,2021-04-02,2021-04-07,,,Other,5.0,5.0,,No,,Unknown,,No,,No,,No,13-2021,2,,F22-1445 Records_Part1.pdf,,
9113,20.0,FHA,,,Delta,2021-04-02,2021-04-10,,,Office,3.0,3.0,,No,,Unknown,,No,,No,,No,13-2021,2,,F22-1445 Records_Part1.pdf,,
9114,21.0,FHA,,,Langley,2021-04-02,2021-04-05,,,Retail,4.0,4.0,,No,,Unknown,,No,,No,,No,13-2021,2,,F22-1445 Records_Part1.pdf,,
9115,22.0,FHA,,,Langley,2021-04-02,2021-04-17,,,Farm/Agriculture,5.0,5.0,,No,,Unknown,,No,,No,,No,13-2021,2,,F22-1445 Records_Part1.pdf,,
9116,23.0,FHA,,,Port Coquitlam,2021-04-02,2021-04-18,,,First Responder,3.0,3.0,,No,,Unknown,,No,,No,,No,13-2021,2,,F22-1445 Records_Part1.pdf,,
9117,24.0,FHA,,,Surrey,2021-04-02,2021-04-18,,,Retail,5.0,5.0,,No,,Unknown,,No,,No,,No,13-2021,2,,F22-1445 Records_Part1.pdf,,
9118,25.0,FHA,,,Surrey,2021-04-02,2021-04-28,,,Manufacturing/Industry,4.0,4.0,,No,,Unknown,,No,,No,,No,13-2021,2,,F22-1445 Records_Part1.pdf,,
9119,26.0,FHA,,,Burnaby,2021-04-04,2021-04-22,,,Gym/Fitness,6.0,6.0,Closed,Yes,,Unknown,2021-04-02,No,,No,,No,14-2021,2,,F22-1445 Records_Part1.pdf,,Closed
9120,27.0,FHA,,,Pitt Meadows,2021-04-04,2021-05-03,,,Farm/Agriculture,8.0,8.0,,No,,Unknown,,No,,No,,No,14-2021,2,,F22-1445 Records_Part1.pdf,,
9121,28.0,FHA,,,Surrey,2021-04-04,2021-04-10,,,Office,8.0,8.0,Closed,Yes,,Unknown,2021-04-04,No,,No,,No,14-2021,2,,F22-1445 Records_Part1.pdf,,Closed
9122,29.0,NHA,,,Unknown,2021-04-04,2021-04-26,,,Shelter/SRO/Congregate Housing,3.0,6.0,"Open (if open, reason for non-closure)",No,,No,,Unknown,,No,,No,14-2021,2,,F22-1445 Records_Part1.pdf,,Not closed
9123,30.0,NHA,,,Unknown,2021-04-04,2021-04-26,,,Shelter/SRO/Congregate Housing,,11.0,"Open (if open, reason for non-closure)",No,,No,,Unknown,,No,,No,14-2021,2,,F22-1445 Records_Part1.pdf,,Not closed
9124,31.0,NHA,,,Unknown,2021-04-04,2021-04-26,,,Shelter/SRO/Congregate Housing,,5.0,"Open (if open, reason for non-closure)",No,,No,,Unknown,,No,,No,14-2021,2,,F22-1445 Records_Part1.pdf,,Not closed
9125,32.0,NHA,,,Unknown,2021-04-04,2021-05-05,,,Health Care Facility (Acute/LTC),,5.0,"Open (if open, reason for non-closure)",No,,No,,Unknown,,No,,No,14-2021,3,,F22-1445 Records_Part1.pdf,,Not closed
9126,33.0,FHA,,,Delta,2021-04-05,2021-04-16,,,Restaurant/Bar/Lounge,4.0,4.0,Closed,Yes,,Unknown,2021-04-07,No,,No,,No,14-2021,3,14-2021,F22-1445 Records_Part1.pdf,,Closed
9127,34.0,FHA,,,Abbotsford,2021-04-05,2021-04-21,,,Warehouse,3.0,3.0,,No,,Unknown,,No,,No,,No,14-2021,3,,F22-1445 Records_Part1.pdf,,
9128,35.0,FHA,,,Burnaby,2021-04-05,2021-04-23,,,Office,3.0,3.0,Closed,Yes,,Unknown,2021-04-06,No,,No,,No,14-2021,3,14-2021,F22-1445 Records_Part1.pdf,,Closed
9129,36.0,FHA,,,Burnaby,2021-04-05,2021-05-07,,,Manufacturing/Industry,12.0,12.0,,No,,Unknown,,No,,No,,No,14-2021,3,,F22-1445 Records_Part1.pdf,,
9130,37.0,FHA,,,Burnaby,2021-04-05,2021-04-24,,,Manufacturing/Industry,4.0,4.0,,No,,Unknown,,No,,No,,No,14-2021,3,,F22-1445 Records_Part1.pdf,,
9131,38.0,FHA,,,Burnaby,2021-04-05,2021-04-21,,,Other,9.0,9.0,,No,,Unknown,,No,,No,,No,14-2021,3,,F22-1445 Records_Part1.pdf,,
9132,39.0,FHA,,,Delta,2021-04-05,2021-04-21,,,Food Processing,5.0,5.0,,No,,Unknown,,No,,No,,No,14-2021,3,,F22-1445 Records_Part1.pdf,,
9133,40.0,FHA,,,Delta,2021-04-05,2021-05-21,,,Food Processing,9.0,9.0,,No,,Unknown,,No,,No,,No,14-2021,3,,F22-1445 Records_Part1.pdf,,
9134,41.0,FHA,,,Delta,2021-04-05,2021-04-21,,,Restaurant/Bar/Lounge,24.0,24.0,Closed,Yes,,Unknown,2021-04-08,No,,No,,No,14-2021,3,14-2021,F22-1445 Records_Part1.pdf,,Closed
9135,42.0,FHA,,,Langley,2021-04-05,2021-04-19,,,Manufacturing/Industry,4.0,4.0,,No,,Unknown,,No,,No,,No,14-2021,3,,F22-1445 Records_Part1.pdf,,
9136,43.0,FHA,,,Maple Ridge,2021-04-05,2021-04-23,,,Office,6.0,6.0,Closed,Yes,,Unknown,2021-04-12,No,,No,,No,14-2021,3,15-2021,F22-1445 Records_Part1.pdf,,Closed
9137,44.0,FHA,,,Port Coquitlam,2021-04-05,2021-05-22,,,Restaurant/Bar/Lounge,9.0,9.0,,No,,Unknown,,No,,No,,No,14-2021,3,,F22-1445 Records_Part1.pdf,,
9138,45.0,FHA,,,Surrey,2021-04-05,2021-04-12,,,Restaurant/Bar/Lounge,4.0,4.0,Closed,Yes,,Unknown,2021-04-05,No,,No,,No,14-2021,3,14-2021,F22-1445 Records_Part1.pdf,,Closed
9139,46.0,FHA,,,Surrey,2021-04-05,2021-04-13,,,Office,4.0,4.0,Closed,Yes,,Unknown,2021-04-06,No,,No,,No,14-2021,3,14-2021,F22-1445 Records_Part1.pdf,,Closed
9140,47.0,FHA,,,Surrey,2021-04-05,2021-04-18,,,Office,6.0,6.0,,No,,Unknown,,No,,No,,No,14-2021,3,,F22-1445 Records_Part1.pdf,,
9141,48.0,FHA,,,Surrey,2021-04-05,2021-04-21,,,Other,3.0,3.0,,No,,Unknown,,No,,No,,No,14-2021,3,,F22-1445 Records_Part1.pdf,,
9142,49.0,FHA,,,Surrey,2021-04-05,2021-04-15,,,Restaurant/Bar/Lounge,3.0,3.0,,No,,Unknown,,No,,No,,No,14-2021,4,,F22-1445 Records_Part1.pdf,,
9143,50.0,NHA,,,Unknown,2021-04-05,2021-04-13,,,Manufacturing/Industry,,3.0,"Open (if open, reason for non-closure)",No,,No,,Unknown,,No,,No,14-2021,4,,F22-1445 Records_Part1.pdf,,Not closed
9144,51.0,NHA,,,Unknown,2021-04-05,2021-04-20,,,Shelter/SRO/Congregate Housing,,7.0,"Open (if open, reason for non-closure)",No,,No,,Unknown,,No,,No,14-2021,4,,F22-1445 Records_Part1.pdf,,Not closed
9145,52.0,FHA,,,Surrey,2021-04-06,2021-04-16,,,Retail,5.0,5.0,Closed,Yes,,Unknown,2021-04-08,No,,No,,No,14-2021,4,,F22-1445 Records_Part1.pdf,,Closed
9146,53.0,FHA,,,Langley,2021-04-06,2021-04-20,,,Restaurant/Bar/Lounge,3.0,3.0,,No,,Unknown,,No,,No,,No,14-2021,4,,F22-1445 Records_Part1.pdf,,
9147,54.0,FHA,,,Abbotsford,2021-04-06,2021-04-19,,,Restaurant/Bar/Lounge,5.0,5.0,Closed,Yes,,Unknown,2021-04-06,No,,No,,No,14-2021,4,,F22-1445 Records_Part1.pdf,,Closed
9148,55.0,FHA,,,Burnaby,2021-04-06,2021-04-24,,,Retail,6.0,6.0,,No,,Unknown,,No,,No,,No,14-2021,4,,F22-1445 Records_Part1.pdf,,
9149,56.0,FHA,,,Delta,2021-04-06,2021-04-14,,,Manufacturing/Industry,3.0,3.0,,No,,Unknown,,No,,No,,No,14-2021,4,,F22-1445 Records_Part1.pdf,,
9150,57.0,FHA,,,Delta,2021-04-06,2021-04-21,,,Retail,4.0,4.0,,No,,Unknown,,No,,No,,No,14-2021,4,,F22-1445 Records_Part1.pdf,,
9151,58.0,FHA,,,Langley,2021-04-06,2021-04-30,,,Manufacturing/Industry,5.0,5.0,,No,,Unknown,,No,,No,,No,14-2021,4,,F22-1445 Records_Part1.pdf,,
9152,59.0,FHA,,,New Westminster,2021-04-06,2021-04-14,,,Personal Care,4.0,4.0,Closed,Yes,,Unknown,2021-04-09,No,,No,,No,14-2021,4,,F22-1445 Records_Part1.pdf,,Closed
9153,60.0,FHA,,,Pitt Meadows,2021-04-06,2021-04-06,,,Office,5.0,5.0,,No,,Unknown,,No,,No,,No,14-2021,4,,F22-1445 Records_Part1.pdf,,
9154,61.0,FHA,,,Port Moody,2021-04-06,2021-04-15,,,Office,3.0,3.0,Closed,Yes,,Unknown,2021-04-08,No,,No,,No,14-2021,4,,F22-1445 Records_Part1.pdf,,Closed
9155,62.0,FHA,,,Surrey,2021-04-06,2021-04-16,,,Retail,3.0,3.0,Closed,Yes,,Unknown,2021-04-07,No,,No,,No,14-2021,4,,F22-1445 Records_Part1.pdf,,Closed
9156,63.0,FHA,,,Surrey,2021-04-06,2021-04-16,,,Food Processing,5.0,5.0,,No,,Unknown,,No,,No,,No,14-2021,4,,F22-1445 Records_Part1.pdf,,
9157,64.0,FHA,,,Surrey,2021-04-06,2021-04-20,,,Manufacturing/Industry,3.0,3.0,,No,,Unknown,,No,,No,,No,14-2021,5,,F22-1445 Records_Part1.pdf,,
9158,65.0,FHA,,,Surrey,2021-04-06,2021-04-19,,,Manufacturing/Industry,3.0,3.0,Closed,Yes,,Unknown,2021-04-09,No,,No,,No,14-2021,5,14-2021,F22-1445 Records_Part1.pdf,,Closed
9159,66.0,FHA,,,Burnaby,2021-04-07,2021-04-20,,,Maintenance/Trades/Construction,4.0,4.0,,No,,Unknown,,No,,No,,No,14-2021,5,,F22-1445 Records_Part1.pdf,,
9160,67.0,FHA,,,Port Coquitlam,2021-04-07,2021-04-16,,,Transportation,4.0,4.0,,No,,Unknown,,No,,No,,No,14-2021,5,,F22-1445 Records_Part1.pdf,,
9161,68.0,FHA,,,Surrey,2021-04-07,2021-04-19,,,Office,4.0,4.0,,No,,Unknown,,No,,No,,No,14-2021,5,,F22-1445 Records_Part1.pdf,,
9162,69.0,FHA,,,Abbotsford,2021-04-07,2021-05-14,,,Retail,14.0,14.0,,No,,Unknown,,No,,No,,No,14-2021,5,,F22-1445 Records_Part1.pdf,,
9163,70.0,FHA,,,Burnaby,2021-04-07,2021-04-17,,,Retail,3.0,3.0,,No,,Unknown,,No,,No,,No,14-2021,5,,F22-1445 Records_Part1.pdf,,
9164,71.0,FHA,,,Delta,2021-04-07,2021-04-20,,,Maintenance/Trades/Construction,4.0,4.0,,No,,Unknown,,No,,No,,No,14-2021,5,,F22-1445 Records_Part1.pdf,,
9165,72.0,FHA,,,Delta,2021-04-07,2021-05-01,,,Manufacturing/Industry,3.0,3.0,,No,,Unknown,,No,,No,,No,14-2021,5,,F22-1445 Records_Part1.pdf,,
9166,73.0,FHA,,,Langley,2021-04-07,2021-04-18,,,Other,3.0,3.0,,No,,Unknown,,No,,No,,No,14-2021,5,,F22-1445 Records_Part1.pdf,,
9167,74.0,FHA,,,Langley,2021-04-07,2021-04-20,,,Restaurant/Bar/Lounge,3.0,3.0,Closed,Yes,,Unknown,2021-04-09,No,,No,,No,14-2021,5,14-2021,F22-1445 Records_Part1.pdf,,Closed
9168,75.0,FHA,,,Maple Ridge,2021-04-07,2021-04-23,,,Gym/Fitness,5.0,5.0,Closed,Yes,,Unknown,2021-04-09,No,,No,,No,14-2021,5,14-2021,F22-1445 Records_Part1.pdf,,Closed
9169,76.0,FHA,,,Port Coquitlam,2021-04-07,2021-04-19,,,Food Processing,5.0,5.0,,No,,Unknown,,No,,No,,No,14-2021,5,,F22-1445 Records_Part1.pdf,,
9170,77.0,FHA,,,Port Coquitlam,2021-04-07,2021-05-11,,,Office,5.0,5.0,Closed,Yes,,Unknown,2021-04-22,No,,No,,No,14-2021,5,16-2021,F22-1445 Records_Part1.pdf,,Closed
9171,78.0,FHA,,,Surrey,2021-04-07,2021-04-22,,,Restaurant/Bar/Lounge,4.0,4.0,Closed,Yes,,Unknown,2021-04-08,No,,No,,No,14-2021,5,14-2021,F22-1445 Records_Part1.pdf,,Closed
9172,79.0,FHA,,,Surrey,2021-04-07,2021-04-28,,,Food Processing,13.0,13.0,,No,,Unknown,,No,,No,,No,14-2021,5,,F22-1445 Records_Part1.pdf,,
9173,80.0,NHA,,,Unknown,2021-04-07,,,,Manufacturing/Industry,,18.0,"Open (if open, reason for non-closure)",No,,No,,Unknown,,No,,No,14-2021,5,,F22-1445 Records_Part1.pdf,,Not closed
9174,81.0,FHA,,,Burnaby,2021-04-08,2021-04-24,,,Maintenance/Trades/Construction,17.0,17.0,,No,,Unknown,,No,,No,,No,14-2021,6,,F22-1445 Records_Part1.pdf,,
9175,82.0,FHA,,,Burnaby,2021-04-08,2021-05-11,,,Gym/Fitness,12.0,12.0,Closed,Yes,,Unknown,2021-05-02,No,,No,,No,14-2021,6,18-2021,F22-1445 Records_Part1.pdf,,Closed
9176,83.0,FHA,,,Langley,2021-04-08,2021-04-26,,,Retail,4.0,4.0,Closed,Yes,,Unknown,2021-04-13,No,,No,,No,14-2021,6,15-2021,F22-1445 Records_Part1.pdf,,Closed
9177,84.0,FHA,,,Port Moody,2021-04-08,,,,Gym/Fitness,21.0,21.0,Closed,Yes,,Unknown,2021-04-14,No,,No,,No,14-2021,6,15-2021,F22-1445 Records_Part1.pdf,,Closed
9178,85.0,FHA,,,Surrey,2021-04-08,2021-04-29,,,Office,12.0,12.0,Closed,Yes,,Unknown,2021-04-18,Yes,,No,,No,14-2021,6,16-2021,F22-1445 Records_Part1.pdf,,Closed
9179,86.0,FHA,,,Surrey,2021-04-08,2021-04-22,,,Restaurant/Bar/Lounge,4.0,4.0,Closed,Yes,,Unknown,2021-04-09,No,,No,,No,14-2021,6,14-2021,F22-1445 Records_Part1.pdf,,Closed
9180,87.0,FHA,,,Surrey,2021-04-08,2021-05-15,,,Gym/Fitness,10.0,10.0,Closed,Yes,,Unknown,2021-04-12,No,,No,,No,14-2021,6,15-2021,F22-1445 Records_Part1.pdf,,Closed
9181,88.0,FHA,,,Abbotsford,2021-04-09,2021-05-17,,,Office,28.0,28.0,Closed,Yes,,Unknown,2021-04-10,No,,No,,No,14-2021,6,14-2021,F22-1445 Records_Part1.pdf,,Closed
9182,89.0,FHA,,,Abbotsford,2021-04-09,2021-04-30,,,Manufacturing/Industry,14.0,14.0,Closed,Yes,,Unknown,2021-04-10,No,,No,,No,14-2021,6,14-2021,F22-1445 Records_Part1.pdf,,Closed
9183,90.0,FHA,,,Burnaby,2021-04-09,2021-04-30,,,Gym/Fitness,12.0,12.0,Closed,Yes,,Unknown,2021-04-15,No,,No,,No,14-2021,6,15-2021,F22-1445 Records_Part1.pdf,,Closed
9184,91.0,FHA,,,Coquitlam,2021-04-09,2021-04-19,,,Restaurant/Bar/Lounge,8.0,8.0,Closed,Yes,,Unknown,2021-04-12,No,,No,,No,14-2021,6,15-2021,F22-1445 Records_Part1.pdf,,Closed
9185,92.0,FHA,,,Coquitlam,2021-04-09,2021-04-21,,,First Responder,4.0,4.0,,No,,Unknown,,No,,No,,No,14-2021,6,,F22-1445 Records_Part1.pdf,,
9186,93.0,FHA,,,Coquitlam,2021-04-09,2021-05-02,,,Retail,5.0,5.0,,No,,Unknown,,No,,No,,No,14-2021,6,,F22-1445 Records_Part1.pdf,,
9187,94.0,FHA,,,New Westminster,2021-04-09,2021-04-22,,,Gym/Fitness,5.0,5.0,Closed,Yes,,Unknown,2021-04-10,No,,No,,No,14-2021,6,14-2021,F22-1445 Records_Part1.pdf,,Closed
9188,95.0,FHA,,,Port Coquitlam,2021-04-09,2021-04-11,,,Other,3.0,3.0,,No,,Unknown,,No,,No,,No,14-2021,6,,F22-1445 Records_Part1.pdf,,
9189,96.0,FHA,,,Surrey,2021-04-09,2021-04-21,,,Warehouse,5.0,5.0,,No,,Unknown,,No,,No,,No,14-2021,7,,F22-1445 Records_Part1.pdf,,
9190,97.0,FHA,,,Surrey,2021-04-09,2021-04-19,,,Manufacturing/Industry,4.0,4.0,Closed,Yes,,Unknown,2021-04-12,No,,No,,No,14-2021,7,,F22-1445 Records_Part1.pdf,,Closed
9191,98.0,FHA,,,Surrey,2021-04-09,2021-04-26,,,Retail,4.0,4.0,,No,,Unknown,,No,,No,,No,14-2021,7,,F22-1445 Records_Part1.pdf,,
9192,99.0,FHA,,,Surrey,2021-04-09,2021-04-21,,,Office,4.0,4.0,,No,,Unknown,,No,,No,,No,14-2021,7,,F22-1445 Records_Part1.pdf,,
9193,100.0,FHA,,,Surrey,2021-04-09,2021-04-23,,,Office,6.0,6.0,Closed,Yes,,Unknown,2021-04-12,No,,No,,No,14-2021,7,,F22-1445 Records_Part1.pdf,,Closed
9194,101.0,FHA,,,Surrey,2021-04-09,,,,Food Processing,11.0,11.0,,No,,Unknown,,No,,No,,No,14-2021,7,,F22-1445 Records_Part1.pdf,,
9195,102.0,FHA,,,Burnaby,2021-04-10,2021-04-24,,,Maintenance/Trades/Construction,4.0,4.0,,No,,Unknown,,No,,No,,No,14-2021,7,,F22-1445 Records_Part1.pdf,,
9196,103.0,FHA,,,Burnaby,2021-04-10,2021-04-28,,,Retail,4.0,4.0,,No,,Unknown,,No,,No,,No,14-2021,7,,F22-1445 Records_Part1.pdf,,
9197,104.0,FHA,,,Delta,2021-04-10,2021-04-19,,,Farm/Agriculture,4.0,4.0,,No,,Unknown,,No,,No,,No,14-2021,7,,F22-1445 Records_Part1.pdf,,
9198,105.0,NHA,,,Unknown,2021-04-10,2021-04-26,,,Shelter/SRO/Congregate Housing,2.0,5.0,"Open (if open, reason for non-closure)",No,,No,,Unknown,,No,,No,14-2021,7,,F22-1445 Records_Part1.pdf,,Not closed
9199,106.0,FHA,,,Surrey,2021-04-11,2021-04-11,,,Maintenance/Trades/Construction,15.0,15.0,,No,,Unknown,,No,,No,,No,15-2021,7,,F22-1445 Records_Part1.pdf,,
9200,107.0,FHA,,,Burnaby,2021-04-11,2021-04-11,,,Retail,3.0,3.0,,No,,Unknown,,No,,No,,No,15-2021,7,,F22-1445 Records_Part1.pdf,,
9201,108.0,FHA,,,Coquitlam,2021-04-11,2021-04-26,,,Restaurant/Bar/Lounge,6.0,6.0,Closed,Yes,,Unknown,2021-04-12,No,,No,,No,15-2021,7,,F22-1445 Records_Part1.pdf,,Closed
9202,109.0,FHA,,,Coquitlam,2021-04-11,2021-04-22,,,Restaurant/Bar/Lounge,4.0,4.0,,No,,Unknown,,No,,No,,No,15-2021,7,,F22-1445 Records_Part1.pdf,,
9203,110.0,FHA,,,Delta,2021-04-11,2021-04-14,,,Farm/Agriculture,3.0,3.0,,No,,Unknown,,No,,No,,No,15-2021,7,,F22-1445 Records_Part1.pdf,,
9204,111.0,FHA,,,Langley,2021-04-11,2021-04-23,,,Restaurant/Bar/Lounge,7.0,7.0,,No,,Unknown,,No,,No,,No,15-2021,7,,F22-1445 Records_Part1.pdf,,
9205,112.0,FHA,,,Langley,2021-04-11,2021-04-19,,,Office,3.0,3.0,Closed,Yes,,Unknown,2021-04-12,No,,No,,No,15-2021,7,,F22-1445 Records_Part1.pdf,,Closed
9206,113.0,FHA,,,Langley,2021-04-11,2021-04-11,,,Restaurant/Bar/Lounge,3.0,3.0,,No,,Unknown,,No,,No,,No,15-2021,7,,F22-1445 Records_Part1.pdf,,
9207,114.0,FHA,,,Langley,2021-04-11,2021-05-20,,,Manufacturing/Industry,11.0,11.0,,No,,Unknown,,No,,No,,No,15-2021,7,,F22-1445 Records_Part1.pdf,,
9208,115.0,FHA,,,Langley,2021-04-11,2021-04-11,,,Restaurant/Bar/Lounge,3.0,3.0,,No,,Unknown,,No,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,
9209,116.0,FHA,,,Port Coquitlam,2021-04-11,2021-04-28,,,Restaurant/Bar/Lounge,4.0,4.0,,No,,Unknown,,No,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,
9210,117.0,FHA,,,Surrey,2021-04-11,2021-04-23,,,Retail,6.0,6.0,Closed,Yes,,Unknown,2021-04-12,No,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,Closed
9211,118.0,FHA,,,Surrey,2021-04-11,2021-04-21,,,Personal Care,3.0,3.0,Closed,Yes,,Unknown,2021-04-12,No,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,Closed
9212,119.0,FHA,,,Surrey,2021-04-11,2021-04-20,,,Restaurant/Bar/Lounge,4.0,4.0,,No,,Unknown,,No,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,
9213,120.0,FHA,,,Agassiz,2021-04-11,2021-04-27,,,Hospitality/Services,57.0,57.0,Closed,Yes,,Unknown,2021-04-12,No,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,Closed
9214,121.0,NHA,,,Unknown,2021-04-11,2021-04-26,,,Shelter/SRO/Congregate Housing,3.0,3.0,"Open (if open, reason for non-closure)",No,,No,,Unknown,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,Not closed
9215,122.0,FHA,,,Burnaby,2021-04-12,2021-04-20,,,Retail,4.0,4.0,Closed,Yes,,Unknown,2021-04-13,No,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,Closed
9216,123.0,FHA,,,Burnaby,2021-04-12,2021-04-22,,,Office,9.0,9.0,Closed,Yes,,Unknown,2021-04-13,Yes,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,Closed
9217,124.0,FHA,,,Burnaby,2021-04-12,2021-04-15,,,Other,9.0,9.0,,No,,Unknown,,No,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,
9218,125.0,FHA,,,Chilliwack,2021-04-12,2021-04-23,,,Transportation,4.0,4.0,Closed,Yes,,Unknown,2021-04-13,No,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,Closed
9219,126.0,FHA,,,Delta,2021-04-12,2021-04-19,,,Manufacturing/Industry,3.0,3.0,,No,,Unknown,,No,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,
9220,127.0,FHA,,,Delta,2021-04-12,2021-05-02,,,Food Processing,14.0,14.0,Closed,Yes,,Unknown,2021-04-17,No,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,Closed
9221,128.0,FHA,,,Langley,2021-04-12,,,,Manufacturing/Industry,10.0,10.0,Closed,Yes,,Unknown,2021-04-13,Yes,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,Closed
9222,129.0,FHA,,,Langley,2021-04-12,2021-05-07,,,Retail,4.0,4.0,Closed,Yes,,Unknown,2021-04-16,No,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,Closed
9223,130.0,FHA,,,Mission,2021-04-12,2021-04-13,,,Farm/Agriculture,3.0,3.0,,No,,Unknown,,No,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,
9224,131.0,FHA,,,Pitt Meadows,2021-04-12,2021-04-18,,,Manufacturing/Industry,3.0,3.0,,No,,Unknown,,No,,No,,No,15-2021,8,,F22-1445 Records_Part1.pdf,,
